PID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
1,2,1544,1,3,76,78,1,1,3,19,19,5,2
1,1,1070,2,3,90,88,1,3,1,36,36,5,2
1,1,837,3,3,86,82,2,2,1,23,22,5,2
1,2,857,4,3,75,73,1,3,1,18,18,5,2
1,1,993,5,3,61,63,1,1,3,3,3,5,2
1,2,870,6,3,83,72,2,2,3,22,16,5,2
1,1,731,7,3,64,65,1,1,2,9,9,5,2
1,2,1129,8,3,81,67,2,3,1,21,10,5,2
1,2,1226,9,3,68,85,2,2,1,10,23,5,2
1,2,1039,10,3,70,80,2,1,2,16,21,5,2
1,2,894,11,4,110,105,2,2,3,28,15,5,2
1,2,1027,12,4,120,107,2,3,2,35,25,5,2
1,2,852,13,4,114,112,1,3,1,30,30,5,2
1,1,820,14,4,116,117,1,2,3,31,31,5,2
1,1,536,15,4,107,93,2,2,3,25,1,5,2
1,1,679,16,4,94,95,1,1,2,6,6,5,2
1,1,925,17,4,100,101,1,1,2,14,14,5,2
1,1,687,18,4,99,98,1,3,2,7,7,5,2
1,2,861,19,4,91,110,2,1,2,1,28,5,2
1,2,967,20,4,103,119,2,1,2,15,35,5,2
1,1,734,21,1,5,4,1,2,1,4,4,5,2
1,1,719,22,1,19,21,1,1,3,32,32,5,2
1,1,1722,23,1,24,23,1,3,2,34,34,5,2
1,2,931,24,1,12,13,2,3,1,13,24,5,2
1,1,803,25,1,7,8,1,1,2,12,12,5,2
1,2,975,26,1,14,3,2,2,3,24,2,5,2
1,2,1141,27,1,16,17,1,1,2,29,29,5,2
1,2,1135,28,1,29,25,2,2,1,40,38,5,2
1,2,895,29,1,25,11,2,1,2,38,13,5,2
1,2,804,30,1,3,28,2,3,1,2,40,5,2
1,2,944,31,3,70,69,2,1,3,16,10,5,2
1,2,1129,32,3,84,82,1,3,1,22,22,5,2
1,2,1142,33,3,62,90,2,2,3,3,36,5,2
1,1,613,34,3,75,73,1,3,1,18,18,5,2
1,2,638,35,3,85,63,2,1,3,23,3,5,2
1,1,590,36,3,79,80,1,1,2,21,21,5,2
1,2,709,37,3,89,72,2,2,3,36,16,5,2
1,2,1399,38,3,78,77,1,3,2,19,19,5,2
1,1,697,39,3,64,65,1,1,2,9,9,5,2
1,2,949,40,3,68,87,2,2,3,10,23,5,2
1,2,820,42,2,43,47,2,1,2,20,26,5,2
1,1,1153,43,2,59,58,1,2,1,39,39,5,2
1,1,1007,44,2,39,37,1,3,1,11,11,5,2
1,2,852,45,2,52,54,1,1,3,33,33,5,2
1,2,647,46,2,40,50,2,1,2,17,27,5,2
1,2,858,47,2,33,40,2,3,1,5,17,5,2
1,2,829,48,2,48,31,2,3,1,26,5,5,2
1,2,1011,49,2,50,43,2,2,1,27,20,5,2
1,1,825,50,2,55,57,1,1,3,37,37,5,2
1,1,1111,51,1,10,11,1,1,2,13,13,5,2
1,1,1025,52,1,15,13,1,3,1,24,24,5,2
1,1,843,53,1,29,30,1,2,3,40,40,5,2
1,1,1134,54,1,17,24,2,2,3,29,34,5,2
1,2,745,55,1,9,8,1,3,2,12,12,5,2
1,2,923,56,1,23,19,2,2,1,34,32,5,2
1,2,1599,57,1,1,17,2,1,2,2,29,5,2
1,2,1357,58,1,27,26,1,3,2,38,38,5,2
1,2,1208,59,1,19,6,2,1,3,32,4,5,2
1,2,800,60,1,4,3,2,1,3,4,2,5,2
1,2,1089,61,4,106,102,2,1,3,25,14,5,2
1,1,650,62,4,92,91,1,2,1,1,1,5,2
1,2,1335,63,4,95,108,2,2,3,6,25,5,2
1,2,2128,64,4,100,95,2,1,2,14,6,5,2
1,2,1120,65,4,99,119,2,3,2,7,35,5,2
1,2,1690,66,4,113,114,1,2,3,30,30,5,2
1,2,899,67,4,118,99,2,1,3,35,7,5,2
1,2,1181,68,4,109,111,1,1,3,28,28,5,2
1,1,1676,69,4,105,104,1,3,2,15,15,5,2
1,1,1380,70,4,117,116,1,3,2,31,31,5,2
1,2,1701,71,2,53,54,1,2,3,33,33,5,2
1,1,667,72,2,57,56,1,3,2,37,37,5,2
1,2,921,73,2,38,51,2,2,3,11,27,5,2
1,2,1115,74,2,51,35,2,3,2,27,8,5,2
1,1,715,75,2,40,41,1,1,2,17,17,5,2
1,2,850,77,2,36,58,2,3,1,8,39,5,2
1,2,1341,78,2,43,39,2,1,3,20,11,5,2
1,1,653,79,2,31,33,1,1,3,5,5,5,2
1,2,631,80,2,59,43,2,2,1,39,20,5,2
2,2,1053,1,3,71,61,2,2,1,16,3,5,2
2,1,818,3,3,81,79,1,3,1,21,21,5,2
2,1,744,4,3,89,88,1,2,1,36,36,5,2
2,1,829,5,3,73,75,1,1,3,18,18,5,2
2,2,912,6,3,65,85,2,2,1,9,23,5,2
2,1,1675,7,3,76,78,1,1,3,19,19,5,2
2,2,1428,8,3,87,70,2,3,1,23,16,5,2
2,1,1376,10,3,82,83,1,1,2,22,22,5,2
2,1,914,11,4,98,97,1,2,1,7,7,5,2
2,2,969,12,4,96,104,2,3,2,6,15,5,2
2,2,1023,13,4,91,95,2,1,2,1,6,5,2
2,2,1276,14,4,101,117,2,2,3,14,31,5,2
2,2,1335,15,4,105,101,2,3,2,15,14,5,2
2,2,2225,16,4,114,112,1,3,1,30,30,5,2
2,1,848,17,4,106,108,1,1,3,25,25,5,2
2,1,1728,18,4,118,119,1,1,2,35,35,5,2
2,2,1863,19,4,110,109,1,2,1,28,28,5,2
2,2,1032,20,4,115,92,2,1,2,31,1,5,2
2,1,1136,21,2,58,60,1,1,3,39,39,5,2
2,2,835,22,2,43,36,2,1,3,20,8,5,2
2,2,1833,23,2,36,41,2,3,2,8,17,5,2
2,2,1295,24,2,50,33,2,2,3,27,5,5,2
2,2,761,26,2,40,45,2,1,3,17,20,5,2
2,1,1508,27,2,54,53,1,3,2,33,33,5,2
2,2,1803,28,2,32,49,2,2,1,5,27,5,2
2,1,1180,29,2,56,55,1,2,1,37,37,5,2
2,1,2276,30,2,48,46,1,3,1,26,26,5,2
2,1,1119,31,4,110,111,1,2,3,28,28,5,2
2,2,893,32,4,94,104,2,1,2,6,15,5,2
2,2,1605,33,4,102,94,2,3,1,14,6,5,2
2,1,756,34,4,91,92,1,1,2,1,1,5,2
2,1,1230,35,4,119,118,1,2,1,35,35,5,2
2,1,1668,36,4,107,106,1,2,1,25,25,5,2
2,2,2042,37,4,114,113,1,3,2,30,30,5,2
2,2,1841,38,4,97,102,2,1,3,7,14,5,2
2,2,1251,39,4,115,99,2,1,3,31,7,5,2
2,2,1443,40,4,105,116,2,3,2,15,31,5,2
2,1,1329,41,2,44,45,1,2,3,20,20,5,2
2,1,1456,42,2,33,46,2,3,1,5,26,5,2
2,1,1849,44,2,58,59,1,1,2,39,39,5,2
2,1,1087,45,2,42,41,1,3,2,17,17,5,2
2,2,1375,46,2,34,57,2,1,3,8,37,5,2
2,2,1190,47,2,53,34,2,2,1,33,8,5,2
2,2,807,48,2,57,32,2,3,2,37,5,5,2
2,2,1765,49,2,46,54,2,1,3,26,33,5,2
2,1,2270,50,2,49,50,1,1,2,27,27,5,2
2,2,1777,51,1,28,26,2,1,2,40,38,5,2
2,1,1146,52,1,6,5,1,3,2,4,4,5,2
2,2,1414,53,1,21,8,2,3,2,32,12,5,2
2,1,2006,54,1,14,13,1,2,1,24,24,5,2
2,1,793,55,1,22,24,1,1,3,34,34,5,2
2,1,1344,56,1,10,11,1,1,2,13,13,5,2
