parameter,day,contrast,value,.lower,.upper
threshold,1,name - untrained,1.0052074628163727,0.734636362244455,1.274543114442149
threshold,1,tie - untrained,0.6344533355547037,0.29881024565161407,0.9517918080384682
threshold,1,both - untrained,0.49686608650443664,0.21749281719073194,0.7778880232368659
threshold,1,both - name,-0.5089432833178493,-0.8111693553030106,-0.20789586069039256
threshold,1,both - tie,-0.13472357785079425,-0.4663492624868684,0.19358266131417662
threshold,1,tie - name,-0.375856932143672,-0.6686811563873014,-0.07000461326176277
threshold,5,name - untrained,-1.0754981618081612,-1.2496624991351357,-0.8937902335024774
threshold,5,tie - untrained,-1.1502582355023236,-1.3322146690813756,-0.9845649613452048
threshold,5,both - untrained,-1.192860298385039,-1.3752457116626067,-1.0254042659688543
threshold,5,both - name,-0.1208137274195884,-0.2882586631395596,0.04838859528988641
threshold,5,both - tie,-0.042050465081647614,-0.19212797899782297,0.10562046227292961
threshold,5,tie - name,-0.07945619719608404,-0.24006801545319906,0.0866895439612354
drift rate,1,name - untrained,-0.48538400164862217,-0.8300228527905981,-0.13077608103446509
drift rate,1,tie - untrained,-0.31080437002105077,-0.7087017088799508,0.07575158174251015
drift rate,1,both - untrained,-0.4809735175831855,-0.8573650203882683,-0.09969634962852728
drift rate,1,both - name,0.0038462884814642884,-0.33576081169963956,0.35244485370535406
drift rate,1,both - tie,-0.1656137110151652,-0.5569590289131179,0.22627317791377438
drift rate,1,tie - name,0.17103876471473778,-0.19794379266570789,0.537932434277943
drift rate,5,name - untrained,0.2221883757314269,-0.15404773928612453,0.5957427167770453
drift rate,5,tie - untrained,0.31337857599249985,-0.04290859455012682,0.6713384820627093
drift rate,5,both - untrained,1.0444161141554376,0.606442837663391,1.511190926320489
drift rate,5,both - name,0.8250235825631163,0.3270944853551053,1.322433416043816
drift rate,5,both - tie,0.734320845915418,0.2623382837692804,1.2038907943330772
drift rate,5,tie - name,0.09132375454500297,-0.3008630503540071,0.49116422719136105
non-decision time,1,name - untrained,-0.1824821609840783,-0.24327554202471574,-0.11938383207634543
non-decision time,1,tie - untrained,-0.12419607774677688,-0.19198981556929878,-0.05139277379687708
non-decision time,1,both - untrained,-0.10414715246182257,-0.17082919564600163,-0.03788651394159587
non-decision time,1,both - name,0.07799414329017221,0.007749377962850263,0.14822596822315287
non-decision time,1,both - tie,0.018749903924999506,-0.05763258464812532,0.09741421723757987
non-decision time,1,tie - name,0.058703011019036605,-0.009869074045634443,0.12659485075308197
non-decision time,5,name - untrained,0.24311825651330163,0.19381611764189122,0.29055900656547584
non-decision time,5,tie - untrained,0.2504348054101656,0.2049181402122438,0.2982934502072731
non-decision time,5,both - untrained,0.26592739176240754,0.21891706130060018,0.3137310179986383
non-decision time,5,both - name,0.023192962625314728,-0.021370057094503566,0.06797719600336966
non-decision time,5,both - tie,0.015066759585622924,-0.024185181699789032,0.0551445814864132
non-decision time,5,tie - name,0.008270543053037122,-0.03672045315701142,0.05239905155167305
