parameter,training,contrast,value,.lower,.upper
threshold,untrained,5 - 1,0.37639177100357357,0.1508268254867468,0.5881970893200468
threshold,name,5 - 1,-1.7063076197961562,-1.9306755374636768,-1.4773271806308192
threshold,tie,5 - 1,-1.409506358368394,-1.6774994912387249,-1.1403924643143277
threshold,both,5 - 1,-1.3136265057005958,-1.5583345853714787,-1.0718662476021854
drift rate,untrained,5 - 1,-0.6586611291570476,-1.021205296966155,-0.29650818648557015
drift rate,name,5 - 1,0.045901304742721694,-0.3173347689358545,0.4167105325905427
drift rate,tie,5 - 1,-0.03258170088980861,-0.4221253772273018,0.3631713436536851
drift rate,both,5 - 1,0.8689592500856722,0.40426673392359,1.3370307127804777
non-decision time,untrained,5 - 1,-0.23461532545437128,-0.2875962971622983,-0.181838018573785
non-decision time,name,5 - 1,0.19010890712642278,0.13460164608953318,0.24528861396361476
non-decision time,tie,5 - 1,0.1392036902858328,0.0759111092185624,0.20086629337221928
non-decision time,both,5 - 1,0.1351241363919053,0.07701431460712019,0.19307190578114472
