parameter,day,training,value,.lower,.upper
threshold,1,untrained,1.4506812054513076,1.2657739341138141,1.6693534657497384
threshold,1,name,2.4628296762275097,2.257417730358947,2.6606140173736796
threshold,1,tie,2.086817867835194,1.839943624494691,2.33451835346634
threshold,1,both,1.9485852604296563,1.7360120067571012,2.1720475657881213
threshold,5,untrained,1.8287708342204203,1.7016373312979332,1.9702376771551136
threshold,5,name,0.7556095206096443,0.6353536587079628,0.8801629761816365
threshold,5,tie,0.677081362654333,0.5730282410096683,0.7866241447864827
threshold,5,both,0.6351703935045787,0.5300949748008614,0.7450783029017041
drift rate,1,untrained,2.7365162542142856,2.467160972326165,3.00720196566823
drift rate,1,name,2.2519294434059653,2.030144634755082,2.4795246551010997
drift rate,1,tie,2.4226124579546693,2.131171389465803,2.710210384403636
drift rate,1,both,2.254263160343155,1.9973492919439595,2.524903007154962
drift rate,5,untrained,2.0762273269282296,1.8479189619002538,2.314657129384595
drift rate,5,name,2.2955422191205885,2.0105377711633485,2.59528202417971
drift rate,5,tie,2.389698151315698,2.128534346456555,2.666423643141197
drift rate,5,both,3.1224348703917935,2.744018933282132,3.5312186886429093
non-decision time,1,untrained,0.49371099851792544,0.44925954334341467,0.5345696076725106
non-decision time,1,name,0.3111773479781187,0.265875218887071,0.3565726187375712
non-decision time,1,tie,0.3699127682908878,0.3146896607829247,0.4254246227631
non-decision time,1,both,0.389299061480996,0.33660354841059115,0.4406196543582356
non-decision time,5,untrained,0.25849852719702676,0.2215129162791942,0.2949015826441332
non-decision time,5,name,0.5012434331798052,0.4685948639357536,0.5331623354313063
non-decision time,5,tie,0.5094620076607548,0.4805129505056439,0.5364535058935469
non-decision time,5,both,0.5243500652011439,0.4950809912199898,0.5533132489631527
