variable,day,condition,mean,sem
Accuracy (% correct),Day 1,untrained,87.643678160919535,7.767719520767132
Accuracy (% correct),Day 1,name,86.66666666666667,8.0239735538855
Accuracy (% correct),Day 1,tie,85.51136363636364,8.308204796641306
Accuracy (% correct),Day 1,both,84.22535211267605,8.603547238397145
Accuracy (% correct),Day 5,untrained,87.356321839080465,7.844630969340848
Accuracy (% correct),Day 5,name,83.76068376068376,8.705370513853836
Accuracy (% correct),Day 5,tie,85.14285714285714,8.395118208400884
Accuracy (% correct),Day 5,both,88.88888888888889,7.417981870189157
Reaction time (ms),Day 1,untrained,1237.0098360655738,77.49059668770641
Reaction time (ms),Day 1,name,1315.9063545150502,85.7429688504793
Reaction time (ms),Day 1,tie,1279.282392026578,94.47197212879219
Reaction time (ms),Day 1,both,1213.3311036789298,87.34150044288896
Reaction time (ms),Day 5,untrained,1139.3190789473683,81.23855824697608
Reaction time (ms),Day 5,name,1054.5374149659865,81.90048843194779
Reaction time (ms),Day 5,tie,1119.0536912751677,83.94534985477667
Reaction time (ms),Day 5,both,1081.951923076923,81.09192984444299
